Date,Hs,Hmax,Tp,DirPic,EtalPic,TempMer
2024-05-07/11:00:00,0.9,1.3,7.6,250,33,13.1
2024-05-07/10:30:00,0.9,1.5,7.3,253,22,13.1
2024-05-07/10:00:00,0.9,1.5,7.3,258,26,13.1
2024-05-07/09:30:00,0.9,1.6,7,243,26,13.1
2024-05-07/09:00:00,0.9,1.4,7.3,255,22,13.1
2024-05-07/08:30:00,0.9,1.7,6.8,253,30,13.1
2024-05-07/08:00:00,0.9,1.6,6.9,264,29,13
2024-05-07/07:30:00,0.9,1.6,7,260,25,13
2024-05-07/07:00:00,1,1.5,6.9,263,30,13
2024-05-07/06:30:00,1,1.6,6.9,263,28,13
2024-05-07/06:00:00,1,1.6,6.9,267,30,13
2024-05-07/05:30:00,1.1,1.9,6.5,258,26,13
2024-05-07/05:00:00,1.2,2.1,6.5,272,21,13
2024-05-07/04:30:00,1.2,2,6.4,257,30,13
2024-05-07/04:00:00,1.1,2,6,260,30,13
2024-05-07/03:30:00,1.2,2,6,250,30,13
2024-05-07/03:00:00,1.2,1.9,5.8,251,27,13
2024-05-07/02:30:00,1.2,1.9,6.5,258,26,13
2024-05-07/02:00:00,1.1,1.8,5.9,258,27,13
2024-05-07/01:30:00,1.1,1.9,6.4,253,36,13
2024-05-07/01:00:00,1,1.9,6.5,251,23,13
2024-05-07/00:30:00,1.1,2,6.7,255,28,13
2024-05-07/00:00:00,1,1.7,6.9,265,28,13
2024-05-06/23:30:00,1,1.7,7.2,240,31,13
2024-05-06/23:00:00,1,1.6,7.2,264,15,13
2024-05-06/22:30:00,1,1.4,6.9,265,19,13
2024-05-06/22:00:00,1.1,1.8,7,255,33,13.1
2024-05-06/21:30:00,1,1.5,6.4,248,28,13.1
2024-05-06/21:00:00,1,1.7,6.5,248,23,13.1
2024-05-06/20:30:00,1.1,1.6,6.7,233,30,13.2
2024-05-06/20:00:00,1.1,2,6.9,246,30,13.1
2024-05-06/19:30:00,1.2,1.8,6.4,247,28,13.1
2024-05-06/19:00:00,1.2,2.3,6.8,257,31,13.1
2024-05-06/18:30:00,1.2,2.1,6.5,251,26,13.1
2024-05-06/18:00:00,1.3,2.1,6.5,248,30,13.1
2024-05-06/17:30:00,1.3,2.7,6.2,246,27,13.2
2024-05-06/17:00:00,1.3,2.1,6.2,246,29,13.1
2024-05-06/16:30:00,1.4,2.3,6.6,243,29,13.1
2024-05-06/16:00:00,1.4,2.1,6.6,241,33,13.1
2024-05-06/15:30:00,1.3,2.3,6.7,247,27,13.2
2024-05-06/15:00:00,1.5,2.6,7,251,28,13.2
2024-05-06/14:30:00,1.4,2.3,6.9,244,22,13.1
2024-05-06/14:00:00,1.6,2.4,7.2,241,30,13
2024-05-06/13:30:00,1.4,2.7,7.2,244,29,13
2024-05-06/13:00:00,1.5,2.1,7.5,244,27,13
2024-05-06/12:30:00,1.3,2.2,7.5,248,30,13
2024-05-06/12:00:00,1.4,2.8,7.6,241,32,13
2024-05-06/11:30:00,1.4,2.2,7.8,237,30,13
2024-05-06/11:00:00,1.3,1.9,8,264,26,13.1
2024-05-06/10:30:00,1.3,2.1,7.7,244,27,13.1
2024-05-06/10:00:00,1.3,2.1,8,240,29,13.1
2024-05-06/09:30:00,1.3,2,7.9,246,25,13
2024-05-06/09:00:00,1.4,2.3,8.3,241,27,13
2024-05-06/08:30:00,1.4,2.6,8,248,28,13
2024-05-06/08:00:00,1.5,2.6,7.9,239,29,13.1
2024-05-06/07:30:00,1.6,2.7,8.1,248,29,13.1
2024-05-06/07:00:00,1.5,2.5,8,232,19,13
2024-05-06/06:30:00,1.7,2.5,8.1,244,27,12.9
2024-05-06/06:00:00,1.7,2.8,8.2,247,27,12.9
2024-05-06/05:30:00,1.8,3.5,7.9,250,26,12.9
2024-05-06/05:00:00,1.8,4,7.9,244,31,12.8
2024-05-06/04:30:00,1.7,3.2,7.8,248,26,12.7
2024-05-06/04:00:00,1.9,3.7,7.9,247,22,12.8
2024-05-06/03:30:00,2.1,3,7.6,246,25,12.8
2024-05-06/03:00:00,2.2,3.4,7.6,246,20,12.7
2024-05-06/02:30:00,2.1,4,7.4,239,23,12.8
2024-05-06/02:00:00,2.1,3.5,7.5,237,25,12.8
2024-05-06/01:30:00,2,3.1,7.4,236,30,12.8
2024-05-06/01:00:00,2,4.3,6.9,237,20,12.9
2024-05-06/00:30:00,2.2,4.1,7.1,237,26,12.9
2024-05-06/00:00:00,2.2,3.4,7.2,233,27,13
2024-05-05/23:30:00,2.2,4,7.1,232,30,13
2024-05-05/23:00:00,2.1,3.4,7.1,240,25,13
2024-05-05/22:30:00,2.4,4.3,7.2,246,31,13
2024-05-05/22:00:00,2,3.7,7,247,32,13.1
2024-05-05/21:30:00,2.1,4.1,7.5,237,37,13.1
2024-05-05/21:00:00,1.8,3.3,7,240,33,13.1
2024-05-05/20:30:00,1.9,3.1,7.3,244,34,13.1
2024-05-05/20:00:00,1.8,3,7.4,234,36,13.1
2024-05-05/19:30:00,1.6,2.6,7.3,227,26,13.2
2024-05-05/19:00:00,1.7,2.7,7.4,232,26,13.2
2024-05-05/18:30:00,1.5,2.8,7.3,241,30,13.1
2024-05-05/18:00:00,1.5,2.7,7.1,240,28,13.1
2024-05-05/17:30:00,1.7,3.1,7.4,233,26,12.9
2024-05-05/17:00:00,1.6,2.6,7.4,239,23,12.9
2024-05-05/16:30:00,1.7,2.7,7.3,239,22,12.9
2024-05-05/16:00:00,1.7,3.1,7.2,225,26,12.9
2024-05-05/15:30:00,1.7,2.8,7.2,240,28,12.9
2024-05-05/15:00:00,1.8,3,7.1,237,26,12.9
2024-05-05/14:30:00,1.8,3.1,6.8,229,22,12.9
2024-05-05/14:00:00,1.8,3.1,7,233,25,13
2024-05-05/13:30:00,2,3,6.8,229,25,12.9
2024-05-05/13:00:00,1.9,3.3,6.6,230,23,12.9
2024-05-05/12:30:00,1.9,4.1,6.9,227,23,12.9
2024-05-05/12:00:00,1.9,3.1,7.1,225,28,12.9
2024-05-05/11:30:00,1.8,3.5,6.8,222,24,13
2024-05-05/11:00:00,1.9,3.3,6.5,223,22,13
